REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,month,day,dayofweek,daysinmonth,hour,minute,holiday
TAS1,2016-01-01 00:30:00,1034.88,98.52,TRADE,1,1,4,31,0,30,1
TAS1,2016-01-01 01:00:00,1035.77,99.25,TRADE,1,1,4,31,1,0,1
TAS1,2016-01-01 01:30:00,998.99,96.9,TRADE,1,1,4,31,1,30,1
TAS1,2016-01-01 02:00:00,974.48,99.37,TRADE,1,1,4,31,2,0,1
TAS1,2016-01-01 02:30:00,995.02,100.34,TRADE,1,1,4,31,2,30,1
TAS1,2016-01-01 03:00:00,994.63,100.3,TRADE,1,1,4,31,3,0,1
TAS1,2016-01-01 03:30:00,987.3,100.26,TRADE,1,1,4,31,3,30,1
TAS1,2016-01-01 04:00:00,988.49,100.26,TRADE,1,1,4,31,4,0,1
TAS1,2016-01-01 04:30:00,999.51,103.47,TRADE,1,1,4,31,4,30,1
TAS1,2016-01-01 05:00:00,990.8,100.26,TRADE,1,1,4,31,5,0,1
TAS1,2016-01-01 05:30:00,983.77,100.26,TRADE,1,1,4,31,5,30,1
TAS1,2016-01-01 06:00:00,982.74,97.8,TRADE,1,1,4,31,6,0,1
TAS1,2016-01-01 06:30:00,982.01,87.78,TRADE,1,1,4,31,6,30,1
TAS1,2016-01-01 07:00:00,1001.31,85.28,TRADE,1,1,4,31,7,0,1
TAS1,2016-01-01 07:30:00,1025.5,125.06,TRADE,1,1,4,31,7,30,1
TAS1,2016-01-01 08:00:00,1043.29,143.78,TRADE,1,1,4,31,8,0,1
TAS1,2016-01-01 08:30:00,1071.68,134.16,TRADE,1,1,4,31,8,30,1
TAS1,2016-01-01 09:00:00,1067.41,131.01,TRADE,1,1,4,31,9,0,1
TAS1,2016-01-01 09:30:00,1065.3,161.3,TRADE,1,1,4,31,9,30,1
TAS1,2016-01-01 10:00:00,1070.59,95.55,TRADE,1,1,4,31,10,0,1
TAS1,2016-01-01 10:30:00,1067.71,107.78,TRADE,1,1,4,31,10,30,1
TAS1,2016-01-01 11:00:00,1057.11,126.88,TRADE,1,1,4,31,11,0,1
TAS1,2016-01-01 11:30:00,1042.01,114.48,TRADE,1,1,4,31,11,30,1
TAS1,2016-01-01 12:00:00,1001.26,85.28,TRADE,1,1,4,31,12,0,1
TAS1,2016-01-01 12:30:00,992.13,92.79,TRADE,1,1,4,31,12,30,1
TAS1,2016-01-01 13:00:00,983.33,91.96,TRADE,1,1,4,31,13,0,1
TAS1,2016-01-01 13:30:00,963.82,88.62,TRADE,1,1,4,31,13,30,1
TAS1,2016-01-01 14:00:00,988.84,95.28,TRADE,1,1,4,31,14,0,1
TAS1,2016-01-01 14:30:00,1003.19,97.77,TRADE,1,1,4,31,14,30,1
TAS1,2016-01-01 15:00:00,1016.07,100.26,TRADE,1,1,4,31,15,0,1
TAS1,2016-01-01 15:30:00,1024.84,100.26,TRADE,1,1,4,31,15,30,1
TAS1,2016-01-01 16:00:00,1021.18,100.26,TRADE,1,1,4,31,16,0,1
TAS1,2016-01-01 16:30:00,1028.18,100.26,TRADE,1,1,4,31,16,30,1
TAS1,2016-01-01 17:00:00,1056.84,100.26,TRADE,1,1,4,31,17,0,1
TAS1,2016-01-01 17:30:00,1053.97,100.26,TRADE,1,1,4,31,17,30,1
TAS1,2016-01-01 18:00:00,1041.8,100.26,TRADE,1,1,4,31,18,0,1
TAS1,2016-01-01 18:30:00,1043.08,100.26,TRADE,1,1,4,31,18,30,1
TAS1,2016-01-01 19:00:00,1039.97,100.26,TRADE,1,1,4,31,19,0,1
TAS1,2016-01-01 19:30:00,1057.29,100.27,TRADE,1,1,4,31,19,30,1
TAS1,2016-01-01 20:00:00,1073.91,100.27,TRADE,1,1,4,31,20,0,1
TAS1,2016-01-01 20:30:00,1090.75,100.26,TRADE,1,1,4,31,20,30,1
TAS1,2016-01-01 21:00:00,1079.97,100.26,TRADE,1,1,4,31,21,0,1
TAS1,2016-01-01 21:30:00,1066.48,92.77,TRADE,1,1,4,31,21,30,1
TAS1,2016-01-01 22:00:00,1031.97,86.95,TRADE,1,1,4,31,22,0,1
TAS1,2016-01-01 22:30:00,1012.34,85.28,TRADE,1,1,4,31,22,30,1
TAS1,2016-01-01 23:00:00,999.37,86.95,TRADE,1,1,4,31,23,0,1
TAS1,2016-01-01 23:30:00,992.17,90.29,TRADE,1,1,4,31,23,30,1
TAS1,2016-01-02 00:00:00,991.42,95.3,TRADE,1,2,5,31,0,0,0
TAS1,2016-01-02 00:30:00,983.82,90.29,TRADE,1,2,5,31,0,30,0
TAS1,2016-01-02 01:00:00,984.06,95.3,TRADE,1,2,5,31,1,0,0
TAS1,2016-01-02 01:30:00,968.15,93.63,TRADE,1,2,5,31,1,30,0
TAS1,2016-01-02 02:00:00,943.6,88.62,TRADE,1,2,5,31,2,0,0
TAS1,2016-01-02 02:30:00,937.16,91.96,TRADE,1,2,5,31,2,30,0
TAS1,2016-01-02 03:00:00,920.35,86.95,TRADE,1,2,5,31,3,0,0
TAS1,2016-01-02 03:30:00,895.71,85.28,TRADE,1,2,5,31,3,30,0
TAS1,2016-01-02 04:00:00,906.17,88.62,TRADE,1,2,5,31,4,0,0
TAS1,2016-01-02 04:30:00,946.47,102.07,TRADE,1,2,5,31,4,30,0
TAS1,2016-01-02 05:00:00,971.86,100.26,TRADE,1,2,5,31,5,0,0
TAS1,2016-01-02 05:30:00,983.15,85.28,TRADE,1,2,5,31,5,30,0
TAS1,2016-01-02 06:00:00,976.54,90.29,TRADE,1,2,5,31,6,0,0
TAS1,2016-01-02 06:30:00,991.57,95.3,TRADE,1,2,5,31,6,30,0
TAS1,2016-01-02 07:00:00,1015.73,100.26,TRADE,1,2,5,31,7,0,0
TAS1,2016-01-02 07:30:00,1037.99,100.26,TRADE,1,2,5,31,7,30,0
TAS1,2016-01-02 08:00:00,1067.58,97.76,TRADE,1,2,5,31,8,0,0
