datetime,value,month,day,dayofweek,daysinmonth,hour,minute,holiday
2005-06-07 07:00:00,3562279127,6,7,1,30,7,0,0
2005-06-07 07:05:00,3710215571,6,7,1,30,7,5,0
2005-06-07 07:10:00,3877469703,6,7,1,30,7,10,0
2005-06-07 07:15:00,3876354871,6,7,1,30,7,15,0
2005-06-07 07:20:00,4582542581,6,7,1,30,7,20,0
2005-06-07 07:25:00,5016336869,6,7,1,30,7,25,0
2005-06-07 07:30:00,5202513642,6,7,1,30,7,30,0
2005-06-07 07:35:00,5410604985,6,7,1,30,7,35,0
2005-06-07 07:40:00,5408071320,6,7,1,30,7,40,0
2005-06-07 07:45:00,5598048880,6,7,1,30,7,45,0
2005-06-07 07:50:00,5268183974,6,7,1,30,7,50,0
2005-06-07 07:55:00,5205965910,6,7,1,30,7,55,0
2005-06-07 08:00:00,5554284558,6,7,1,30,8,0,0
2005-06-07 08:05:00,6071804752,6,7,1,30,8,5,0
2005-06-07 08:10:00,6533409311,6,7,1,30,8,10,0
2005-06-07 08:15:00,6432612096,6,7,1,30,8,15,0
2005-06-07 08:20:00,6422634291,6,7,1,30,8,20,0
2005-06-07 08:25:00,6413343245,6,7,1,30,8,25,0
2005-06-07 08:30:00,6438472853,6,7,1,30,8,30,0
2005-06-07 08:35:00,6593321117,6,7,1,30,8,35,0
2005-06-07 08:40:00,6386798311,6,7,1,30,8,40,0
2005-06-07 08:45:00,6402829429,6,7,1,30,8,45,0
2005-06-07 08:50:00,6448640206,6,7,1,30,8,50,0
2005-06-07 08:55:00,6758012799,6,7,1,30,8,55,0
2005-06-07 09:00:00,6897537181,6,7,1,30,9,0,0
2005-06-07 09:05:00,6625683956,6,7,1,30,9,5,0
2005-06-07 09:10:00,6786593033,6,7,1,30,9,10,0
2005-06-07 09:15:00,6741090851,6,7,1,30,9,15,0
2005-06-07 09:20:00,6857892154,6,7,1,30,9,20,0
2005-06-07 09:25:00,6885633911,6,7,1,30,9,25,0
2005-06-07 09:30:00,7036186201,6,7,1,30,9,30,0
2005-06-07 09:35:00,7182820092,6,7,1,30,9,35,0
2005-06-07 09:40:00,6897783063,6,7,1,30,9,40,0
2005-06-07 09:45:00,6802926206,6,7,1,30,9,45,0
2005-06-07 09:50:00,6856304069,6,7,1,30,9,50,0
2005-06-07 09:55:00,6963587768,6,7,1,30,9,55,0
2005-06-07 10:00:00,7283565230,6,7,1,30,10,0,0
2005-06-07 10:05:00,7294355973,6,7,1,30,10,5,0
2005-06-07 10:10:00,7277773691,6,7,1,30,10,10,0
2005-06-07 10:15:00,7327652118,6,7,1,30,10,15,0
2005-06-07 10:20:00,7411935065,6,7,1,30,10,20,0
2005-06-07 10:25:00,7559621824,6,7,1,30,10,25,0
2005-06-07 10:30:00,7464144357,6,7,1,30,10,30,0
2005-06-07 10:35:00,7556335967,6,7,1,30,10,35,0
2005-06-07 10:40:00,7531158925,6,7,1,30,10,40,0
2005-06-07 10:45:00,7451588318,6,7,1,30,10,45,0
2005-06-07 10:50:00,7251552599,6,7,1,30,10,50,0
2005-06-07 10:55:00,7387311025,6,7,1,30,10,55,0
2005-06-07 11:00:00,7534902212,6,7,1,30,11,0,0
2005-06-07 11:05:00,7669462738,6,7,1,30,11,5,0
2005-06-07 11:10:00,7806347806,6,7,1,30,11,10,0
2005-06-07 11:15:00,7633844064,6,7,1,30,11,15,0
2005-06-07 11:20:00,7666925195,6,7,1,30,11,20,0
2005-06-07 11:25:00,7520164584,6,7,1,30,11,25,0
2005-06-07 11:30:00,7501747391,6,7,1,30,11,30,0
2005-06-07 11:35:00,7767857531,6,7,1,30,11,35,0
2005-06-07 11:40:00,7232609101,6,7,1,30,11,40,0
2005-06-07 11:45:00,7274338276,6,7,1,30,11,45,0
2005-06-07 11:50:00,7408981176,6,7,1,30,11,50,0
2005-06-07 11:55:00,7230742271,6,7,1,30,11,55,0
2005-06-07 12:00:00,7354167649,6,7,1,30,12,0,0
2005-06-07 12:05:00,7107897687,6,7,1,30,12,5,0
2005-06-07 12:10:00,7295721127,6,7,1,30,12,10,0
2005-06-07 12:15:00,7080999121,6,7,1,30,12,15,0
2005-06-07 12:20:00,7606453644,6,7,1,30,12,20,0
2005-06-07 12:25:00,7642015997,6,7,1,30,12,25,0
2005-06-07 12:30:00,7848884725,6,7,1,30,12,30,0
2005-06-07 12:35:00,7724196995,6,7,1,30,12,35,0
2005-06-07 12:40:00,7650962743,6,7,1,30,12,40,0
2005-06-07 12:45:00,7753904748,6,7,1,30,12,45,0
2005-06-07 12:50:00,7744009419,6,7,1,30,12,50,0
2005-06-07 12:55:00,7336903262,6,7,1,30,12,55,0
2005-06-07 13:00:00,7485654677,6,7,1,30,13,0,0
2005-06-07 13:05:00,7513611244,6,7,1,30,13,5,0
2005-06-07 13:10:00,7644185813,6,7,1,30,13,10,0
2005-06-07 13:15:00,7414962086,6,7,1,30,13,15,0
2005-06-07 13:20:00,7514644125,6,7,1,30,13,20,0
2005-06-07 13:25:00,7445178236,6,7,1,30,13,25,0
2005-06-07 13:30:00,7294385873,6,7,1,30,13,30,0
2005-06-07 13:35:00,7233354647,6,7,1,30,13,35,0
2005-06-07 13:40:00,7332941859,6,7,1,30,13,40,0
2005-06-07 13:45:00,7513492139,6,7,1,30,13,45,0
2005-06-07 13:50:00,7528727688,6,7,1,30,13,50,0
2005-06-07 13:55:00,8536272286,6,7,1,30,13,55,0
2005-06-07 14:00:00,7724842582,6,7,1,30,14,0,0
2005-06-07 14:05:00,7599001549,6,7,1,30,14,5,0
2005-06-07 14:10:00,7348468015,6,7,1,30,14,10,0
2005-06-07 14:15:00,7326327200,6,7,1,30,14,15,0
2005-06-07 14:20:00,7639506670,6,7,1,30,14,20,0
2005-06-07 14:25:00,7802449354,6,7,1,30,14,25,0
2005-06-07 14:30:00,7485672218,6,7,1,30,14,30,0
2005-06-07 14:35:00,7354957743,6,7,1,30,14,35,0
2005-06-07 14:40:00,7497015314,6,7,1,30,14,40,0
2005-06-07 14:45:00,7235630142,6,7,1,30,14,45,0
2005-06-07 14:50:00,7434386233,6,7,1,30,14,50,0
2005-06-07 14:55:00,7519403839,6,7,1,30,14,55,0
2005-06-07 15:00:00,7403087775,6,7,1,30,15,0,0
2005-06-07 15:05:00,7366791574,6,7,1,30,15,5,0
2005-06-07 15:10:00,7577678754,6,7,1,30,15,10,0
2005-06-07 15:15:00,7326687210,6,7,1,30,15,15,0
2005-06-07 15:20:00,7259778835,6,7,1,30,15,20,0
2005-06-07 15:25:00,7499146875,6,7,1,30,15,25,0
2005-06-07 15:30:00,7530745790,6,7,1,30,15,30,0
2005-06-07 15:35:00,7054149566,6,7,1,30,15,35,0
2005-06-07 15:40:00,7134469847,6,7,1,30,15,40,0
2005-06-07 15:45:00,7081949563,6,7,1,30,15,45,0
2005-06-07 15:50:00,6953665837,6,7,1,30,15,50,0
2005-06-07 15:55:00,7023590624,6,7,1,30,15,55,0
2005-06-07 16:00:00,6759900139,6,7,1,30,16,0,0
2005-06-07 16:05:00,6530131152,6,7,1,30,16,5,0
2005-06-07 16:10:00,6447105457,6,7,1,30,16,10,0
2005-06-07 16:15:00,6330514608,6,7,1,30,16,15,0
2005-06-07 16:20:00,6331684427,6,7,1,30,16,20,0
2005-06-07 16:25:00,6223271197,6,7,1,30,16,25,0
2005-06-07 16:30:00,6202872405,6,7,1,30,16,30,0
2005-06-07 16:35:00,5914776765,6,7,1,30,16,35,0
2005-06-07 16:40:00,5917454777,6,7,1,30,16,40,0
2005-06-07 16:45:00,5921237644,6,7,1,30,16,45,0
2005-06-07 16:50:00,5640499083,6,7,1,30,16,50,0
2005-06-07 16:55:00,5391187185,6,7,1,30,16,55,0
2005-06-07 17:00:00,5349731374,6,7,1,30,17,0,0
2005-06-07 17:05:00,5306831763,6,7,1,30,17,5,0
2005-06-07 17:10:00,4924258813,6,7,1,30,17,10,0
2005-06-07 17:15:00,4870140499,6,7,1,30,17,15,0
2005-06-07 17:20:00,5051888264,6,7,1,30,17,20,0
2005-06-07 17:25:00,4936297774,6,7,1,30,17,25,0
2005-06-07 17:30:00,4670716971,6,7,1,30,17,30,0
2005-06-07 17:35:00,4336637893,6,7,1,30,17,35,0
2005-06-07 17:40:00,4315527574,6,7,1,30,17,40,0
2005-06-07 17:45:00,4234212594,6,7,1,30,17,45,0
2005-06-07 17:50:00,4403446516,6,7,1,30,17,50,0
2005-06-07 17:55:00,4295636203,6,7,1,30,17,55,0
2005-06-07 18:00:00,4158312131,6,7,1,30,18,0,0
2005-06-07 18:05:00,3994767281,6,7,1,30,18,5,0
2005-06-07 18:10:00,3981376101,6,7,1,30,18,10,0
2005-06-07 18:15:00,4103194285,6,7,1,30,18,15,0
2005-06-07 18:20:00,4191264851,6,7,1,30,18,20,0
2005-06-07 18:25:00,4107663994,6,7,1,30,18,25,0
2005-06-07 18:30:00,3950115059,6,7,1,30,18,30,0
2005-06-07 18:35:00,3884135336,6,7,1,30,18,35,0
2005-06-07 18:40:00,4106267810,6,7,1,30,18,40,0
2005-06-07 18:45:00,3873014865,6,7,1,30,18,45,0
2005-06-07 18:50:00,3987571377,6,7,1,30,18,50,0
2005-06-07 18:55:00,3772918776,6,7,1,30,18,55,0
2005-06-07 19:00:00,3967867664,6,7,1,30,19,0,0
2005-06-07 19:05:00,3768411435,6,7,1,30,19,5,0
2005-06-07 19:10:00,3524927741,6,7,1,30,19,10,0
2005-06-07 19:15:00,3533644824,6,7,1,30,19,15,0
2005-06-07 19:20:00,3611084551,6,7,1,30,19,20,0
2005-06-07 19:25:00,3718716907,6,7,1,30,19,25,0
2005-06-07 19:30:00,3622619626,6,7,1,30,19,30,0
2005-06-07 19:35:00,3649115438,6,7,1,30,19,35,0
2005-06-07 19:40:00,3824052475,6,7,1,30,19,40,0
2005-06-07 19:45:00,3802783518,6,7,1,30,19,45,0
2005-06-07 19:50:00,3724816224,6,7,1,30,19,50,0
2005-06-07 19:55:00,3658838363,6,7,1,30,19,55,0
2005-06-07 20:00:00,3634119585,6,7,1,30,20,0,0
2005-06-07 20:05:00,3625261928,6,7,1,30,20,5,0
2005-06-07 20:10:00,3670661268,6,7,1,30,20,10,0
2005-06-07 20:15:00,3569002593,6,7,1,30,20,15,0
2005-06-07 20:20:00,3704103060,6,7,1,30,20,20,0
2005-06-07 20:25:00,3600959582,6,7,1,30,20,25,0
2005-06-07 20:30:00,3540508801,6,7,1,30,20,30,0
2005-06-07 20:35:00,3530136362,6,7,1,30,20,35,0
2005-06-07 20:40:00,3586244712,6,7,1,30,20,40,0
2005-06-07 20:45:00,3580008115,6,7,1,30,20,45,0
2005-06-07 20:50:00,3518283866,6,7,1,30,20,50,0
2005-06-07 20:55:00,3490909198,6,7,1,30,20,55,0
2005-06-07 21:00:00,3273634716,6,7,1,30,21,0,0
2005-06-07 21:05:00,3220012819,6,7,1,30,21,5,0
2005-06-07 21:10:00,3268927551,6,7,1,30,21,10,0
2005-06-07 21:15:00,3165384774,6,7,1,30,21,15,0
2005-06-07 21:20:00,3201339313,6,7,1,30,21,20,0
2005-06-07 21:25:00,3168450654,6,7,1,30,21,25,0
2005-06-07 21:30:00,3036703512,6,7,1,30,21,30,0
2005-06-07 21:35:00,2999785689,6,7,1,30,21,35,0
2005-06-07 21:40:00,2931969530,6,7,1,30,21,40,0
2005-06-07 21:45:00,3063506195,6,7,1,30,21,45,0
2005-06-07 21:50:00,2874825851,6,7,1,30,21,50,0
2005-06-07 21:55:00,2756967891,6,7,1,30,21,55,0
2005-06-07 22:00:00,2746056942,6,7,1,30,22,0,0
2005-06-07 22:05:00,2710922432,6,7,1,30,22,5,0
2005-06-07 22:10:00,2687775945,6,7,1,30,22,10,0
2005-06-07 22:15:00,2750878241,6,7,1,30,22,15,0
2005-06-07 22:20:00,2654607198,6,7,1,30,22,20,0
2005-06-07 22:25:00,2649790823,6,7,1,30,22,25,0
2005-06-07 22:30:00,2561522102,6,7,1,30,22,30,0
2005-06-07 22:35:00,2622232533,6,7,1,30,22,35,0
2005-06-07 22:40:00,2569332246,6,7,1,30,22,40,0
2005-06-07 22:45:00,2900771417,6,7,1,30,22,45,0
2005-06-07 22:50:00,2362620888,6,7,1,30,22,50,0
2005-06-07 22:55:00,2338511945,6,7,1,30,22,55,0
2005-06-07 23:00:00,2346308954,6,7,1,30,23,0,0
2005-06-07 23:05:00,2485275798,6,7,1,30,23,5,0
2005-06-07 23:10:00,2383711038,6,7,1,30,23,10,0
2005-06-07 23:15:00,2352537359,6,7,1,30,23,15,0
2005-06-07 23:20:00,2438498778,6,7,1,30,23,20,0
2005-06-07 23:25:00,2387348189,6,7,1,30,23,25,0
2005-06-07 23:30:00,2136407019,6,7,1,30,23,30,0
2005-06-07 23:35:00,2105109648,6,7,1,30,23,35,0
2005-06-07 23:40:00,2108515945,6,7,1,30,23,40,0
2005-06-07 23:45:00,2361817024,6,7,1,30,23,45,0
2005-06-07 23:50:00,2145379850,6,7,1,30,23,50,0
2005-06-07 23:55:00,2216433223,6,7,1,30,23,55,0
2005-06-08 00:00:00,2205983887,6,8,2,30,0,0,0
2005-06-08 00:05:00,2125875017,6,8,2,30,0,5,0
2005-06-08 00:10:00,2386775906,6,8,2,30,0,10,0
2005-06-08 00:15:00,2242831948,6,8,2,30,0,15,0
2005-06-08 00:20:00,2154930604,6,8,2,30,0,20,0
2005-06-08 00:25:00,2106550611,6,8,2,30,0,25,0
2005-06-08 00:30:00,2048932841,6,8,2,30,0,30,0
