datetime,dilation_list,epochs,model_name,ds_name,num_params,nd_valid,nrmse_valid,smape_valid,mae_test,nd_test,nrmse_test,smape_test,mse_test,note,ms_dtw_test,mae_test_bm,nd_test_bm,nrmse_test_bm,smape_test_bm,mse_test_bm,n_back,time,norm,dilation_depth,sliding_window_dis,lag,n_fore,n_repeat,batch_size,callbacks,conv_filter,conv_ksize,hid_dim_fore,nheads,out_features,csv_kwargs,dynamic_feat_cat,dynamic_feat_real,file_path,pkl_path,static_feat,static_feat_dim,target
2021_03_06_19_00_30,"[1, 2, 4, 8]",200.0,DeepTCN3,,5905.0,0.305956,0.416182,,,0.470554,0.623538,,,ts and TCAN,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,1.0,,,,,,,,,
2021_03_05_22_54_15,"[1, 2, 4, 8]",300.0,DeepTCN3,,39537.0,0.352161,0.485423,,,0.432111,0.64159,,,add multiheadattention.,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,{'tensorboard': {'log_dir': '/home/haohy/TSF/deepts_torch/examples/logs'}},11.0,2.0,,,,,,,,,,,
2021_03_06_19_05_11,"[1, 2, 4, 8]",200.0,DeepTCN3,,5905.0,0.35319,0.483934,,,0.498201,0.733063,,,ts and TCN,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,1.0,,,,,,,,,
2021_03_05_22_23_25,"[1, 2, 4, 8]",300.0,DeepTCN3,,39537.0,0.384062,0.543171,,,0.47731,0.677148,,,Huber loss.,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,{'tensorboard': {'log_dir': '/home/haohy/TSF/deepts_torch/examples/logs'}},11.0,2.0,,,,,,,,,,,
2021_03_06_18_52_27,"[1, 2, 4, 8]",200.0,DeepTCN3,,13393.0,0.571829,0.760728,,,0.679298,0.954214,,,ts and dynamic_real TCAN,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,2.0,,,,,,,,,
2021_03_06_16_58_50,"[1, 2, 4, 8]",200.0,DeepTCN3,,30673.0,0.584395,0.754579,,,0.616888,0.825304,,,TCAN,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,4.0,,,,,,,,,
2021_03_06_14_35_12,"[1, 2, 4, 8]",200.0,DeepTCN3,,14673.0,0.621105,0.823342,,,0.754812,0.983441,,,True TCN,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,2.0,,,,,,,,,
2021_03_06_15_23_30,"[1, 2, 4, 8]",200.0,DeepTCN3,,30673.0,0.636803,0.833624,,,0.652864,0.920217,,,"dyn_cat_all, TCN",,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,4.0,,,,,,,,,
2021_03_06_15_52_54,"[1, 2, 4, 8]",200.0,DeepTCN3,,1425.0,0.685642,0.8470989999999999,,,0.781061,0.989565,,,Naive CNN,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,4.0,,,,,,,,,
2021_03_10_23_32_03,"[1, 2, 4, 8]",200.0,DeepTCN3,,5009.0,0.78277,0.981846,,,0.661809,0.901042,,,ts and TCN,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,1.0,,,,,,,,,
2021_03_11_11_04_11,"[1, 2, 4, 8]",200.0,DeepTCN3,,5009.0,0.646126,0.913537,,,0.624208,0.844683,,,ts and TCN,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,1.0,,,,,,,,,
2021_03_11_12_02_11,"[1, 2, 4, 8]",200.0,DeepTCN3,,5009.0,0.6409189999999999,0.911543,,,0.653672,0.8654459999999999,,,ts and TCN,,,,,,,48.0,,1.0,2.0,24.0,7.0,24.0,2.0,32.0,,11.0,2.0,32.0,1.0,,,,,,,,,
